Argument ID	Conclusion	Stance	Premise
A12364	We should legalize cannabis	in favor of	Too much drugs depend on the availability of cannabis. legalizing it will make development of these drugs quicker
A12365	We should subsidize journalism	against	we should not subsidize journalism because it is a poor use of public money when things like healthcare and education are short of funding
A12368	We should adopt libertarianism	against	We should not adopt libertarianism because people's lives are better when they know they have a social safety net to fall back on, and that they won't starve if they lose their job.
A12369	We should subsidize journalism	in favor of	subsidizing journalism would bring more accurate reporting because it would allow for the hiring of more qualified reporters.
A12372	We should abolish the right to keep and bear arms	in favor of	gun violence is out of control and the only solution is to take away guns
A12374	We should abolish the right to keep and bear arms	against	the right to keep and bear arms is one of the tenets of our country
A12375	We should ban missionary work	in favor of	missionary work is risky to participate in.
A12376	We should ban whaling	in favor of	Whale meat has high levels of mercury and is unhealthy as part of a diet.
A12377	We should adopt a zero-tolerance policy in schools	in favor of	zero tolerance sets a clear and specific guideline for all to adhere to
A12379	We should abolish the three-strikes laws	in favor of	a three-strikes system does not allow for people to be treated fairly as individuals and instead is used as a "one-size-fits-all" control method for minority populations.
A12381	We should subsidize journalism	against	it could become partial to whoever pays
A12383	We should ban targeted killing	against	targeted killing may help avoiding terrorists attacks and is a very useful thing
A12385	We should abolish the three-strikes laws	in favor of	Three strikes laws reduce the power of judges and discretion in the court room, making judgments shallower.
A12386	We should end the use of economic sanctions	against	economic sanctions can help force countries to provide better treatment for the common people of that country.
A12387	We should abolish the three-strikes laws	in favor of	the three strike law prohibits reform of offenders.
A12389	We should subsidize embryonic stem cell research	in favor of	embryonic stem cell research  can lead to new cures for diseases.
A12390	We should subsidize space exploration	against	Space travel has health dangers. Astronauts and space tourists face risks from radiation, which can cause illness and injure organs.
A12392	We should end the use of economic sanctions	against	economic sanctions can help control financial situations
A12393	We should adopt libertarianism	against	libertarianism would be a huge mistake, especially for the poor in our nation.
A12396	We should prohibit school prayer	in favor of	prayer is a personal choice. enforcing school prayer may expose students to ideas they are not comfortable with.
A12397	We should abolish the three-strikes laws	in favor of	Three strikes laws destroy families by taking away parents and children for the rest of their lives with no chance of parole.
A12398	We should end the use of economic sanctions	against	economic sanctions do help western countries to  avoid the spread of terrorism.
A12400	We should end the use of economic sanctions	in favor of	the countries regular citizens are the ones who are hurt the most by sanctions.
A12401	We should ban missionary work	against	we should not ban missionary work because if people want to help out others that is their business and no one elses
A12403	We should ban the Church of Scientology	in favor of	we should ban the church of scientology as many ex-members report manipulation and bullying and it has been reported to be a cult which has seperated families.
A12404	We should ban telemarketing	against	telemarketing is a job for some and banning it would take jobs away.
A12405	We should subsidize space exploration	in favor of	we should subsidize space exploration because someday we may have to leave earth behind once we deplete all our resources or because of a nuclear war.
A12407	We should introduce compulsory voting	in favor of	compulsory voting ensures that our leaders reflect the will of all people, not just those who were able/motivated enough to make it to the polls.
A12408	We should ban the use of child actors	against	if parents agree for their kids to do acting, i can`t see any problem with it.
A12412	We should subsidize space exploration	against	there is nothing that can come from space research that will help the country so why waste so much money?
A12413	We should abandon the use of school uniform	against	the school uniform generates in the student respect and adherence to the rules. eliminating the use of school uniform goes against the establishment of routine and responsibility towards the institution
A12416	We should ban cosmetic surgery for minors	in favor of	minors should not be allowed to have an elective cosmetic surgery.  their bodies are still growing and changing and should be allowed to mature before going under the knife.
A12417	We should ban algorithmic trading	against	algirithmic trading reduces the possibilty of error and just furthers profit for finance companies
A12418	We should cancel pride parades	in favor of	pride parades can cause increased tensions which requires more police protection.  this can also cause fighting to break out.
A12419	We should ban cosmetic surgery for minors	in favor of	this is absolutely something we should ban because children shouldn't be encouraged to be dissatisfied with their bodies
A12420	We should adopt libertarianism	in favor of	working together for a greater good favouring the less well off and giving freedom of choice can only benefit society as a whole.
A12423	We should prohibit school prayer	in favor of	prayer in school should be prohibited because it violates the separation of prayer and state
A12425	We should stop the development of autonomous cars	in favor of	autonomous cars leave both passengers and pedestrians vulnerable to malicious hacking which could cause wide scale destruction.
A12426	We should end the use of economic sanctions	in favor of	we should end the use of economic sanctions because it causes more conflict.
A12427	We should prohibit school prayer	against	school prayer encourages children to be open minded and learn about other cultures and religions
A12428	We should abandon the use of school uniform	against	uniforms allow students to look the same and not have to follow the fashion while at school
A12430	We should adopt atheism	against	Adopting atheism takes away the freedom of worship that people are promised in this country.
A12433	We should cancel pride parades	against	pride parades allow marginalized groups to have a space in order to gather and celebrate and boost their self-esteem.
A12435	We should legalize prostitution	in favor of	very often prostitutes are the most vulnerable in society and have drug and alcohol problems. they need to be properly protected.
A12437	We should abolish intellectual property rights	against	if an individual has created any property it is his to determine it's use
A12438	We should legalize organ trade	in favor of	legal organ trade would help prevent wait lists
A12439	We should ban telemarketing	in favor of	The true purposes of telemarketing are to pressure feeble-minded people into buying things they don't really want, and to make it easier to get away with fraud
A12440	We should legalize prostitution	in favor of	legalising prostitution can only be beneficial to the sex workers and their clients from a safety and health point of view.
A12441	We should introduce compulsory voting	in favor of	more voters would boost voter turnout.
A12442	We should end mandatory retirement	in favor of	if a person wants to continue working, that is their right.  they should not be forced to stop based on some arbitrary rule made up by someone.
A12444	We should introduce compulsory voting	in favor of	being a citizen of your country requires you to have at least some duty to the nation.
A12446	We should legalize prostitution	in favor of	legalizing prostitution could allow for regulations that make prostitutes and the people that use their services safer and healthier.
A12450	We should abolish the right to keep and bear arms	against	Citizens should be allowed to defend themselves with lethal force in a life-or-death situation because the police are typically slow to respond to such situations.
A12453	We should ban the use of child actors	against	child actors are necessary and children can learn how to work even from an early age
A12454	We should limit executive compensation	against	companies should be able to pay as much as they like as long as it's above minimum wahe
A12455	We should subsidize student loans	in favor of	student loans should be subsidized as this allows those from marginalized or poorer sections of society to access good education
A12458	We should legalize prostitution	against	legalizing prostitution can many women as well as children vulnerable to the dangerous and immoral legal acceptance of prostitution.
A12459	We should ban cosmetic surgery	in favor of	cosmetic surgery makes people feel self-conscious about themselves, providing false imagery of natural beauty
A12461	We should limit executive compensation	against	people should receive benefits for achieving higher goals and executives should also receive those compensations.
A12462	We should abolish zoos	in favor of	zoos maintain animals in unnatural, cramped conditions - they are exploited for the benefit of a paying public, with little concern about their happiness of welfare.
A12464	We should abolish intellectual property rights	in favor of	since intellectual property is such covers such a broad spectrum, it is difficult to prove that rights have been infringed leading to lengthy legal cases and should, therefore be abolished.
A12467	We should adopt gender-neutral language	in favor of	it would make people who are gender challenged feel better.
A12468	We should abolish the right to keep and bear arms	against	everyone should have the right to keep and bear arms for protection
A12469	We should subsidize embryonic stem cell research	in favor of	embryonic stem cell research is an advanced medicine progress that should not be stopped
A12470	We should ban human cloning	against	human cloning can provide a way for science to overcome negative qualities in humans, such as birth defects, so overall it is a positive technology that should be allowed to flourish.
A12474	We should adopt a multi-party system	in favor of	tywo party systems no longer reflect the growing diversity of political views, only a multi party system can do this.
A12475	We should ban the Church of Scientology	in favor of	scientology is just a business that is trying to scam people out of money.
A12476	We should abolish capital punishment	in favor of	killing someone is never okay even if they are a killer.
A12478	We should subsidize journalism	in favor of	we should  fund journalism to serve the public interest.
A12479	We should abolish intellectual property rights	against	without intellection property rights there is no incentive to research and develop new products
A12481	We should ban telemarketing	in favor of	telemarketing can harm vulnerable people who are less able to say no.
A12482	We should ban targeted killing	against	targeted killing is often the only way to get to the enemy.
A12485	We should ban whaling	against	whaling is an important cultural tradition in countries such as japan; therefore we should allow it to continue.
A12486	We should ban targeted killing	in favor of	targeted killing can be misused by a despotic regime; it should be banned.
A12488	We should subsidize Wikipedia	against	subsidizing wikipedia will lead to bias in the contents. content creators and moderators will be afraid to criticize the people who contribute money to wikipedia
A12489	We should ban factory farming	against	factory farming is needed in order to feed our ever increasing population.
A12490	We should abolish the right to keep and bear arms	in favor of	the right to keep and bear arms should be abolished because countries with strict gun control are far safer because they have far fewer incidents of violent gun crime
A12492	We should ban fast food	against	fast food shouldn't be banned because it helps people save times
A12493	We should legalize sex selection	against	sex selection should not be legalized as it is unethical
A12495	We should ban missionary work	in favor of	missionaries try to force their religion or ideas on people that are already happy the way they are.
A12498	We should subsidize space exploration	in favor of	space exploration has the ability to solve the problem of limited materials on earth
A12499	We should ban cosmetic surgery for minors	against	The government must use least restrictive means to avoid encroaching on people's freedoms. As such they should educate and regulate cosmetic surgery for minors instead of banning it.
A12500	We should introduce compulsory voting	in favor of	compulsory voting will eliminate voter suppression which is a big problem in this country
A13001	We should adopt libertarianism	against	adopting libertarianism would eliminate many social programs, reducing access t food and health care to those in need
A13002	We should legalize organ trade	against	legalizing the organ trade would lead to people forcing or coercing other into giving their organs. this would increase death and suffering.
A13004	We should ban the Church of Scientology	against	we should not ban the church of scientology because in this country everyone has the right to freely practice whatever religion they  want.
A13006	We should abolish the Olympic Games	against	olympic games gives the world a chance to see the talent of many athletes from around the world
A13007	We should abolish intellectual property rights	in favor of	we should abolish intellectual property rights because we never can truly know that someone came up with something.
A13009	We should subsidize space exploration	against	subsidizing space exploration takes money away from more important issues.
A13010	We should ban missionary work	in favor of	missionary work puts people in intrusive positions against those who have inhabited the same land and have had the same customs for centuries.
A13012	We should ban algorithmic trading	against	algorithmic trading allows for more timely, accurate, and efficient trading.
A13013	We should abolish capital punishment	against	capital punishment might be the only way to fairly punish a criminal for an exceedingly awful crime.
A13015	We should oppose collectivism	in favor of	the value of a group should not be deemed more important just because of the amount of people. it does not increase their value.
A13016	We should adopt atheism	against	We should not adopt atheism as government should not be able to dictate people's religious freedom.
A13017	We should end mandatory retirement	in favor of	As people continue to have children later and later, mandatory retirement prevents people from being able to provide for their family and dependents.
A13018	We should stop the development of autonomous cars	against	we should not stop the development of autonomous cars because it will help the people more easily on driving and will provide more safety.
A13019	We should abolish zoos	against	some species are endangered and threatened by poaching. zoos are a place were we can guarantee their safety and survival.
A13020	We should abolish safe spaces	in favor of	safe spaces prevent people from challenging ideas different than their own.
A14001	We should ban fast food	against	banning this is a slippery slope to all sorts of objectively unhealthy food on the market
A14002	We should fight for the abolition of nuclear weapons	in favor of	Fallout from nuclear weapons gets carried across the world by the wind, we must abolish nuclear weapons so that conflicts between individual states don't cause nuclear damage in neighboring states.
A14006	We should ban factory farming	against	factory farming is an efficient way to grow mass amounts of food for the food supply chain. it pushes innovation and makes farming more efficient and safer outcomes for the food supply.
A14007	We should subsidize embryonic stem cell research	against	we should not subsidize embryonic stem cell research as that is done by private companies and they can raiser their own money.
A14009	We should subsidize student loans	in favor of	we have a tremendous amount of highly intelligent /students who could not go to college without subsidizes. these students could find cures to fatal illnesses and should be subsidized to benefit all of society.
A14011	We should adopt an austerity regime	in favor of	an austerity regime would be good for the economy
A14012	We should legalize sex selection	against	sex selection is unnatural and will have long term negative consequences on society. we will become overpopulated with male children and females will become targets of sexual crimes.
A14013	We should abolish safe spaces	against	the abused have the right to have spaces where they can have tolerance and not suffer abuse
A14014	We should end the use of economic sanctions	in favor of	economic sanctions hurt the poor, working class and has little affect on the ruling party.
A14016	We should ban missionary work	against	missionary work allows people in developing countries access to new ways of thinking and possibilities for how they live their life.
A14017	We should abolish intellectual property rights	in favor of	intellectual property rights are expensive to maintain and hold back the spread of new ideas
A14019	We should stop the development of autonomous cars	in favor of	stop the development of autonomous cars because it can cause accidents due to the laws in different countries being different
A14020	We should abandon the use of school uniform	in favor of	school uniforms are a way of stifling the creativity and individuality of students.
A15002	We should ban fast food	in favor of	fast food is the cause of the ever increasing chronic conditions and obesity in our nation.
A15004	We should abolish safe spaces	against	safe spaces are a place where minorities of any sort are safe to be who they are and are safe from discrimination, negative comments and harassment and in today's intolerant society are much needed.
A15005	We should oppose collectivism	in favor of	people should be encouraged to individuals
A15009	We should abolish the right to keep and bear arms	in favor of	the right to bear arms had and will only lead to people killing innocent people.
A15010	We should ban private military companies	in favor of	private military companies have no governmental controls and can do more harm then good.
A15012	We should legalize sex selection	against	There is no certainty that the process will be a success, and couples may end up wasting time and money.
A15013	We should abolish capital punishment	in favor of	Capital punishment can be replaced by more ethical but equally punishing alternatives, like life without parole.
A15014	We should ban telemarketing	against	telemarketing is very economical and it provides an easy way for companies to offer their products and services to people.  telemarketers are merely asking whether someone wants something or not.
A15015	We should subsidize space exploration	in favor of	we need to subsidize space exploration so we can find somewhere for the human race to go when we finally get done destroying our planet.
A15017	We should subsidize Wikipedia	in favor of	wikipedia is a valuable source of information in all things and would be missed if it were not able to continue due to lack of support
A15018	We should ban targeted killing	in favor of	targeted killing should be banned because the individual doesn't stand a chance against government hired hitmen. instead, a fair trial should be carried out.
A15019	We should legalize cannabis	against	cannabis use has been linked to mental problems in youth and shouldn't be legalized.
A15020	We should abolish intellectual property rights	against	intellectual property rights mean that the people who come up with ideas or products get the financial gains from said product and so makes people more likely to innovate
A17002	We should adopt a zero-tolerance policy in schools	against	schools already have systems and hierarchies, there is no need to employ further policies.
A17003	We should cancel pride parades	against	thepride parades are part of the empowerment of the lgbt community
A17004	We should abolish zoos	against	zoos allow people to see many animals in their natural habitat that most people would never see.
A17005	We should limit judicial activism	against	each case has different circumstances and certain things need to be taken into consideration for each one. judicial activism allow the court to consider the circumstances of each crime.
A17006	We should stop the development of autonomous cars	in favor of	it is just another way for lazy people to do as little as possible.
A17007	We should stop the development of autonomous cars	against	autonomous cars reduce the risk of human error, thus leading to safer roads.
A17008	We should stop the development of autonomous cars	against	autonomous cars can help transport those unable to drive themselves
A17009	We should adopt libertarianism	in favor of	libertarianism allows people to make their own choices without government interference.
A17011	We should ban algorithmic trading	in favor of	algorithmic trading can cause unnatural market movements.
A17012	We should limit judicial activism	in favor of	judges should be limited to upholding law rather than making it. that job is politicians.
A17013	We should ban the Church of Scientology	against	we should not ban the church of scientology as people have the right to support any religion they choose and the church contributes money to good causes.
A17015	We should ban human cloning	against	we should not ban human cloning as we need to continue to work to the betterment of the health and welfare of the people.
A17016	We should introduce compulsory voting	against	this is a free country and citizens should have the right to vote or not to vote.
A17017	We should abolish zoos	against	zoos are a great way teach people about animals and how important they are
A17018	We should abolish zoos	against	a zoo is a safe place for animals who lost their homes and are not able to care for themselves
A17019	We should abandon the use of school uniform	in favor of	should uniforms are costly and children should be allowed to where their own cheaper clothes
A17020	We should limit judicial activism	against	modern days require modern measures and judicial activism brings present day thinking and opinions into important cases to stay up to date
A18003	We should ban telemarketing	in favor of	unwanted telemarketing is a form of harassment, it's extremely annoying and it's got so out of hand that people are unable to avoid or opt out of it.
A18005	We should legalize prostitution	in favor of	we should legalize prostitution because if someone really wants to use those services, they should have the right to do so.  we can just regulate it.
A18006	We should ban the use of child actors	in favor of	using child actors keeps the children out of school .
A18007	We should introduce compulsory voting	against	voting should be a choice for every person
A18008	We should ban fast food	in favor of	we should ban fast food because all of the chemicals it is made with is unhealthy and makes you obese
A18010	We should abolish the Olympic Games	in favor of	the olympic games only benefit the rich as they are the only people who can afford to compete or attend the games.
A18011	We should ban telemarketing	against	Telemarketing is an excellent tool if used sensitively and with caution
A18014	We should ban private military companies	in favor of	Private military companies have their bottom line as a priority rather than the safety of the country.
A18015	We should abolish the right to keep and bear arms	against	we should not abolish the right to keep and bear arms because people would be left defenseless against criminals who are going to find a way to get a gun
A18016	We should legalize prostitution	against	it is not right to legitimize something that is fundamentally immoral and hurts those who engage in it
A18017	We should subsidize embryonic stem cell research	in favor of	we should subsidize embryonic stem cell research because it will help many people as long as it is successfully done.
A18018	We should adopt a multi-party system	against	it makes a mockery of voting for your political party of choice if the end result is a multi-party system which will lead to people not voting if they feel they do not have a say.
A18019	We should end mandatory retirement	against	mandatory retirement leaves openings in the job force for those that are stronger and more capable of doing the jobs.
A18020	We should ban whaling	in favor of	it is harmful and may lead to whale extinction.
A18021	We should end the use of economic sanctions	in favor of	economic sanctions often do not work and cutting out countries from the world economy hurts their citizens, not their leaders.
A18022	We should abolish intellectual property rights	in favor of	intellectual property rights should be abolished as they stifle innovation and allows the creation of monopolies and giant corporations
A18023	We should cancel pride parades	in favor of	we should cancel pride parades because it is forcing views some people don't agree with in their face
A18026	We should abolish intellectual property rights	in favor of	also called intellectual plagiarism none of this makes sense there may be people who think the same and that is not a crime
A18030	We should ban human cloning	in favor of	a child who is the result of human cloning will have psychological problems because they are not allowed to be their own person
A18032	We should ban algorithmic trading	in favor of	algorithmic trading gives people an unfair advantage because they can trade so much more quickly and therefore it should be banned.
A18033	We should abolish zoos	in favor of	animals deserve to be in the wild, with access to large open spaces not available at a zoo.
A18035	We should oppose collectivism	in favor of	collectivism is a communist strategy and we must reject
A18036	We should abolish capital punishment	against	capital punishment is absolutely needed. it acts as a deterrent to prevent future crime. if a person knows they can be killed for their crime, it deters them and also makes sure they aren't released from prison
A18037	We should abandon the use of school uniform	against	school uniform helps all children attend on a level playing field, free from worry about trying to keep up with expensive fashion trends.
A18038	We should oppose collectivism	against	we should support collectivism because it helps people find common goals.
A18039	We should adopt a zero-tolerance policy in schools	in favor of	Some violent and extreme behaviours in schools deserve a fierce and sharp reaction.
A18040	We should subsidize Wikipedia	against	it may effect its impartiality, governments  may use their funding to influence editors.
A18042	We should abolish zoos	against	we shouldn't abolish zoos because they create jobs for zookeepers and they allow children to view wild animals which is fun and educational
A18043	We should ban cosmetic surgery for minors	against	even minors have the right to bodily autonomy and should be allowed to decide for themselves whether to have cosmetic surgery.
A18045	We should fight for the abolition of nuclear weapons	against	nuclear weapons provide us security in times of war.
A18046	We should adopt gender-neutral language	in favor of	we should adopt gender-neutral language because equal rights should include equal language
A18047	We should abolish the Olympic Games	in favor of	we should abolish the olympic games because they have not done what they were meant to do which is create peace.  they have created more problems especially to those hosting them and are just beyond their time.
A18048	We should adopt atheism	against	people have the freedom to choose any religion, atheism should not be forced upon people
A18050	We should ban fast food	in favor of	fast food has proven to be detrimental to the health of all people and should be banned immediately.
A18053	We should subsidize embryonic stem cell research	in favor of	we need the cures and treatments we can get by funding stem cell research.
A18056	We should ban the Church of Scientology	in favor of	scientology is not a real religion and you can't just take a work of sci-fi and make your own religion
A18057	We should ban whaling	in favor of	whaling is cruel and inhumane; it should be banned.
A18058	We should ban human cloning	in favor of	human cloning is unnatural and should be banned
A18059	We should abolish the three-strikes laws	in favor of	We should abolish the three-strikes laws because they discriminate against over-policed communities.
A18060	We should prohibit school prayer	against	we shouldn't prohibit school prayer because is important for religious education
A18061	We should ban telemarketing	in favor of	it is a form of harassment to be contacted constantly by telemarketers.
A18062	We should stop the development of autonomous cars	against	autonomous cars could help people make better use of their time
A18063	We should adopt atheism	in favor of	atheism is the most rational outcome  for our society after too many religions have ruined our lives
A18064	We should legalize organ trade	in favor of	organ trade between consenting parties should be an option as it can reduce wait times.
A18065	We should legalize cannabis	against	legal marijuana could actually improve opportunities for the black market because cartels can easily undermine licensed sellers prices and the black market will thrive
A18066	We should abolish zoos	in favor of	we should abolish zoos because it is cruel to cage up animals like that in one area and is not their natural habitat and essentially treat them like pets.
A18067	We should subsidize embryonic stem cell research	in favor of	the investigations with mother cells could mean the definitive advance for the human race
A18068	We should oppose collectivism	in favor of	people should be able to work hard and reap the benefits of their labor. with collectivism you will always have some people doing most of the work and the lazy ones will benefit from it.
A18069	We should legalize cannabis	against	legalizing marijuana leads to more marijuana-related medical emergencies cases and unintentional cannabis overdose injuries among children
A18070	We should ban private military companies	against	Private military companies can provide more advanced technology because they are not restricted by governmental red tape.
A18072	We should ban cosmetic surgery	against	cosmetic surgery teaches our daughters that they need to look perfect and never age.
A18073	We should abolish the three-strikes laws	in favor of	three-strike laws are intolerant of special circumstances.
A18074	We should legalize cannabis	against	allowing people to use a gateway drug like cannabis is steering them towards a life of addiction.
A18075	We should prohibit school prayer	against	school prayer should be allowed in school because it is what our country was founded on.  those who disagree could just abstain from the prayer.
A18076	We should prohibit school prayer	in favor of	school prayer is wrong because the non religious are expected to participate.
A18077	We should stop the development of autonomous cars	in favor of	The development of autonomous cars should be halted until we have dealt with the moral question of who would be  liable in the case of an accident, hacking or malfunction.
A18078	We should abolish zoos	in favor of	it's cruel for the animals to be caged
A18079	We should ban cosmetic surgery	in favor of	the long term effects of new procedures have not been studied enough to know if they are safe.
A18080	We should legalize prostitution	against	we should not legalize prostitution because they spread too many diseases
A18081	We should ban private military companies	against	We should not ban because it has been proven to work and can serve specific issues
A18082	We should abolish the right to keep and bear arms	against	guns are already ubiquitous and outlawing them will only keep them out of the hands of lawful owners.
A18083	We should fight for the abolition of nuclear weapons	against	we must not abolish nuclear weapons because they can be used in situations of extreme need like defending a country
A18084	We should ban missionary work	against	independent religious organisations should be free to solicit for new members if they do so in a fair and open manner.
A18085	We should adopt an austerity regime	in favor of	austerity regimes needs to be adopted to reduce budget deficits and debt crises
A18089	We should end mandatory retirement	against	for people who work in skilled manual jobs it comes to a point where it is no longer safe for them work, the retirement age is used to protect people of a certain age as a safety precaution
A18090	We should limit executive compensation	in favor of	executive compensation should be limited to make companies more profitable.
A18093	We should abolish intellectual property rights	in favor of	intellectual property rights create a monopoly position for a company which enables them to charge whatever they like for a product without fear of competition. it prices the poor out of markets
A18094	We should legalize cannabis	in favor of	some states have already done it so we might as well.
A18096	We should abolish the right to keep and bear arms	against	the right to keep and bear arms is important in keeping people safe in a dangerous and uncertain world
A18098	We should abolish the three-strikes laws	against	three strikes is enough opportunity for a person to reform their behavior and become a law abiding citizen. after three strikes a person has proven they are not interested in conforming to societal rules.
A18099	We should abolish intellectual property rights	in favor of	maintaining intellectual property rights for all is too expensive, and maintaining these rights might restrict innovation in certain sectors.
A18100	We should legalize sex selection	against	this should be banned as it is immoral.
A18101	We should abolish the Olympic Games	against	athletes train their whole lives in hopes that they can represent their country to be the best.
A18105	We should adopt an austerity regime	in favor of	we should adopt an austerity regime so that future generations are not left t0 pay the debts that we rack up.
A18107	We should ban cosmetic surgery for minors	in favor of	allowing cosmetic surgery for minors would simply sweep the real problem under the rug: the effect of toxic appearance standards.
A18108	We should adopt gender-neutral language	against	other languages such as spanish and french have even more gendered language than we do, and they have no problems
A18109	We should ban telemarketing	in favor of	telemarketing should be banned because it is disruptive to the course of the day for many people.
A18110	We should subsidize Wikipedia	in favor of	wikipedia would be more accurate if it was subsidized.
A18114	We should ban missionary work	against	missionary work can sometimes provide communities in need around the world with access to education and resources.
A18118	We should ban whaling	in favor of	whaling kills whales in an inhumane way
A18120	We should ban cosmetic surgery for minors	in favor of	childrens' bodies are constantly changing  throughout childhood so that, cosmetic surgery may be used to alter an disliked part of the body when it may change anyway, resulting in unnecessary surgery
A18121	We should ban targeted killing	against	Targeted killing surgically removes enemy actors with no collateral damage, it must be continued.
A18123	We should ban missionary work	in favor of	missionary work is dangerous and not necessary
A18124	We should stop the development of autonomous cars	against	autonomous cars can give many people the freedom to drive without actually driving, so we should not stop making them.
A18125	We should ban fast food	against	this is a free country. people are free to make bad nutritional decisions
A18129	We should cancel pride parades	in favor of	pride parades cause more trouble by singling out those who are different.
A18131	We should stop the development of autonomous cars	against	development of autonomous car will make traffic and parking  easier
A18133	We should ban the Church of Scientology	against	to pick out one religion out of many to ban would be an infringement of the freedom to practice any religion of your choosing.
A18134	We should adopt libertarianism	against	we should not adopt libertarianism for fear of the threat to law and order.
A18135	We should abolish the Olympic Games	against	the olympic games brings together the world in a peaceful environment
A18136	We should ban the use of child actors	against	banning child actors would limit movies and tv shows. anything with children in the story would be unable to be made. television and movies for children would no longer exist either.
A18138	We should ban private military companies	in favor of	private military companies should be banned they often act as mercenaries and cant be regulated
A18139	We should subsidize journalism	in favor of	Journalism plays an essential role as watchdog of democracy, and keeping citizens informed. Such a valuable industry deserves government subsidization.
A18141	We should legalize organ trade	in favor of	people are more likely to share their organs if there is financial benefit to them, increasing supply.
A18144	We should cancel pride parades	against	we should not cancel pride parades because people should have the right to express what they want, and how they feel about a certain issue.
A18145	We should subsidize student loans	in favor of	student loans enable poor students to continue with their education and graduate from the university
A18146	We should ban factory farming	against	it is the most efficient way to produce food
A18147	We should abolish the three-strikes laws	in favor of	Three strikes laws ruin young people's lives by preventing them from being accessing education and jobs that would pull them out of a life of crime by prolonging their time in jail during their formative years.
A18148	We should ban the Church of Scientology	in favor of	the church of scientology is a cult and it should be banned.
A18149	We should abolish safe spaces	in favor of	safe spaces create an unrealistic environment that doesn't exist in the real world.
A18150	We should end mandatory retirement	in favor of	just because someone has reached the age of retirement, they are still able to provide a vaulable service with expertise and a vast knowledge of experience.
A18152	We should limit executive compensation	in favor of	if a company has received enough profits to offer bonuses to their executives, the money could be better spent on giving bonuses to poorer staff members at the bottom of the chain.
A18153	We should adopt a zero-tolerance policy in schools	against	we shouldn't adopt a zero-tolerance policy in schools because a misunderstanding can cause innocent students to be suspended or expelled
A18154	We should legalize sex selection	in favor of	sex selection should be allowed to those who want a certain gender.
A18155	We should end the use of economic sanctions	against	economic sanctions are an effective way to signify that human rights abuses will not be tolerated.
A18160	We should adopt a multi-party system	in favor of	A multi-party system would bring in a lot more choice of representation for the people living in the country.
A18161	We should adopt atheism	in favor of	Atheism should be adopted because many people do not believe in God or a higher power,
A18162	We should abandon the use of school uniform	in favor of	school uniformlimits a childs ability to express themselves, experiment and develop as a person
A18164	We should adopt a zero-tolerance policy in schools	in favor of	zero-tolerance must be mandatory in school and is only way to stop negative stuff which happens so often in schools.
A18165	We should ban algorithmic trading	against	Algorithmic trading can operate 24 hours a day. While you sleep, your algorithms are making you money.
A18166	We should adopt a zero-tolerance policy in schools	against	however these policies can impede the advancement of children from troubled backgrounds or with additional needs. they need a safe place to learn in a positive behaviours in a supportive environment.
A18169	We should ban human cloning	in favor of	human beings were created to be individuals unlike no other.
A18171	We should ban cosmetic surgery	in favor of	cosmetic surgery can sometimes cause harm and disasterous results.
A18172	We should ban cosmetic surgery	in favor of	cosmetic surgery only serves to perpetuate eurocentric standards of beauty and makes it more difficult to challenge them.
A18175	We should end mandatory retirement	in favor of	someone should be able to continue working if they want, despite their age.
A18178	We should ban fast food	in favor of	fast food threatens the health of many americans.
A18179	We should ban algorithmic trading	in favor of	algorithmic trading is unfair and doesn't allow for the individual to make money that doesn't have the algorithim.
A18180	We should subsidize Wikipedia	against	it is inaccurate and should not be funded by government money.
A18181	We should abolish capital punishment	against	some crimes are so heinous that the only just punishment is the death penalty.
A18182	We should end the use of economic sanctions	in favor of	ending economic sanctions would make it so all countries could trade freely with anyone.
A18183	We should legalize sex selection	against	when people mess with mother nature by trying to select the sex of their child, only bad things can happen.
A18184	We should abolish safe spaces	against	safe spaces are important for those who do not feel included or feel threatened
A18185	We should abolish the three-strikes laws	against	the three-strikes laws offer clarity, and their mandatory nature makes punishment certain, these laws prevent inconsistency in the criminal justice system
A18186	We should legalize sex selection	against	sex selection promotes abortion and gender inequality
A18188	We should ban the use of child actors	in favor of	children should be at school and not working. we do not allow children to work in any other way and acting should be no different.
A18189	We should abolish zoos	in favor of	zoos are inherently cruel to the animals, keeping them confined in unnatural conditions for the benefit of entertaining human visitors - they are miserable, and more prone to disease.
A18192	We should legalize prostitution	in favor of	Legalizing prostitution will allow prostitutes to push for equitable contracts and conditions, something they can't do in the status quo since their work is illegal.
A18195	We should abolish zoos	against	we should not abolish zoos as they contribute to the breeding of endangered species and the reintroduction of animals to the wild
A18197	We should abolish the Olympic Games	against	promotes peace and sportsmanship amongst countries
A18200	We should ban cosmetic surgery	in favor of	cosmetic surgery creates a great desire for physical improvement that leads to an endless loop of body adjustments which has a detrimental effect on the individual.
A18201	We should abolish intellectual property rights	against	intellectual property rights protect inventors.
A18203	We should limit judicial activism	against	judicial activism,  bringing a personal touch of the judge,  is  the best way to apply laws and rules for our society.
A18204	We should ban factory farming	in favor of	it is not humane to animals and needs to be stopped.
A18207	We should ban human cloning	against	human cloning is simply another avenue of science to explore, and it is vital to push back the boundaries in order to open up possible potential cures for disease and medical issues.
A18209	We should subsidize student loans	in favor of	we should subsidize student loans to ensure all who seek a good education can obtain one. this sets up success for life which also saves the government money when people are self sufficient
